time,"price",return,pecentage return
2015-02-17,"3,522.32",0.006526684,0.65%
2015-02-25,"3,478.73",-0.012375366,-1.24%
2015-02-26,"3,566.30",0.02517298,2.52%
2015-02-27,"3,572.84",0.001833833,0.18%
2015-03-02,"3,601.27",0.007957255,0.80%
2015-03-03,"3,507.90",-0.025926965,-2.59%
2015-03-04,"3,530.82",0.006533824,0.65%
2015-03-05,"3,496.34",-0.009765437,-0.98%
2015-03-06,"3,478.52",-0.005096758,-0.51%
2015-03-09,"3,537.75",0.017027356,1.70%
2015-03-10,"3,520.61",-0.004844887,-0.48%
2015-03-11,"3,524.65",0.001147528,0.11%
2015-03-12,"3,592.84",0.019346602,1.93%
2015-03-13,"3,617.66",0.006908184,0.69%
2015-03-16,"3,705.67",0.02432788,2.43%
2015-03-17,"3,757.12",0.013884129,1.39%
2015-03-18,"3,846.06",0.023672387,2.37%
2015-03-19,"3,839.74",-0.00164324,-0.16%
2015-03-20,"3,892.57",0.013758744,1.38%
2015-03-23,"3,972.06",0.020420956,2.04%
2015-03-24,"3,973.05",0.000249241,0.02%
